,serie,sMAPE_ESRNN,MAE_ESRNN,MAPE_ESRNN,RMSE_ESRNN,sMAPE_LGBM,MAE_LGBM,MAPE_LGBM,RMSE_LGBM,correlation,winner,new_trend_Acomulada
1365,D2270,1.1302367180287485,54.79573214285711,1.122968008860441,65.00398415058878,0.9774681696404006,47.42459410238267,0.977023200109298,52.5666022175219,-7.432684054569487e-15,1,1
1366,D2271,10.96862560121924,1091.7468750000005,31.856007742246284,3375.151492200629,43.16912244661539,5185.988268454082,48.40921867422465,5238.588383847375,-0.0902898047431731,0,-11
1367,D2272,1.9956517272312784,22.889660714285696,1.970940079777811,25.696141428891025,6.555328491860039,78.24174895821793,6.783684186969915,79.18790588112161,0.291688086784842,0,3
1368,D2273,1.181828344555531,167.6022321428575,1.1909601951455406,191.76432096799724,14.756641762933556,1938.4556695855804,13.740535119363532,1941.1800327850003,0.4357381888271943,0,-3
1369,D2274,3.668227077461097,60.79810535714286,3.590737138189928,66.16520418415243,1.1809223040618089,19.9424144239752,1.1800838991592186,23.32253433088298,0.6180979061639303,1,1
1370,D2275,3.3999411350464435,84.95919999999988,3.3324570692780773,92.94488441488012,1.0526336948119357,26.684306897708343,1.0510092194989775,30.549311758565377,0.7160930948334114,1,3
1371,D2276,0.9445100231990416,26.082103571428465,0.9496419956105708,29.82716472939491,0.7237289485279065,19.992879181358667,0.7262797216831366,24.61948447543872,0.3565560287783887,1,-3
1372,D2277,2.268923782370293,177.68200892857152,2.2690919254526563,223.7401181833111,2.151908945872708,166.88077093255794,2.127330152118638,306.06899865910094,-0.0928128825871289,1,1
1373,D2278,8.537938633335871,546.2388839285715,9.047280271038922,619.5997724994206,2.6909639348961694,168.40369337231166,2.744152576720252,201.04997957123453,0.9144394398870624,1,-7
1374,D2279,1.4457772821330328,153.35000000000022,1.4711531026146691,246.82340796809,1.52698562997284,160.8610883535443,1.5274563240911687,223.722732594295,0.2712674711357083,0,1
1375,D2280,4.558828475012727,340.3414732142856,4.433520269887159,394.3478054469857,3.065486972680268,230.4157826302219,3.052295113191736,261.0587127866893,0.4242761309653753,1,-1
1376,D2281,1.4465131879657538,162.25625000000022,1.4656354174303508,238.68022055493392,1.4771589888763303,165.28414043435194,1.4839365185017357,252.1123057745655,0.3397350666022513,0,1
1377,D2282,1.323722432588951,127.23142857142842,1.3447444346805033,206.55292953933977,1.4043396058179225,134.15885602185114,1.4031776553298156,184.2833060573313,0.2375325259657307,0,1
1378,D2283,2.326148755839252,216.83535714285685,2.3230974135341667,292.13924398555343,2.267939240179646,208.95289784463213,2.2174943666522773,410.7545420766567,-0.0500750298288723,1,1
1379,D2284,0.4353135525743125,43.60049035714279,0.4351346236935592,51.211238648996805,0.5497606219587153,55.01206199194193,0.5481906892861573,66.21542661365805,0.4953499156389473,0,1
1380,D2285,0.7510730041624917,13.852146428571425,0.747156180164927,16.426171806215894,0.8212467042859118,15.208108513995985,0.8227972198632664,20.68773778761939,0.2126488474954659,0,-1
1381,D2286,1.889434953205751,108.00334821428578,1.865608412419256,126.06238473472403,0.8304464273859138,47.657553924880304,0.8272135533213457,57.79076940300403,0.724820673080755,1,3
1382,D2287,6.742236464719229,311.8429017857143,7.027745712651987,340.53980971241475,1.8962461413719007,85.49877120807729,1.9074774759699944,99.39728865264892,0.7623336596203543,1,-3
1383,D2288,0.7570717726473856,20.591483928571343,0.75243255127283,27.0251743562326,0.6888853170503315,18.798894114926693,0.6894889922848103,22.33574728796073,0.3316833595195552,1,1
1384,D2289,1.1419000466248224,57.45602678571407,1.1312543117994704,77.31761661939797,0.5502362107248243,27.74484895638976,0.5492201486772571,35.93368529906386,0.8206031275053505,1,5
1385,D2290,1.9808946013460664,19.557045535714288,2.0204401512481422,28.50809332388384,1.3044980022094963,12.869673749844749,1.313547046335508,15.431620483003762,0.8629539168046938,1,-5
1386,D2291,1.8396065255275311,176.04415178571395,1.87207261863105,245.2233674181027,1.1370726724422937,108.6485919789237,1.1339061694191162,123.42628659910974,0.7629138376884039,1,-1
1387,D2292,0.5219912951794745,53.85982142857159,0.521514740860511,62.18278306770016,3.541232924397498,359.55244451029586,3.477826456747856,365.0992763315468,0.4085178075831998,0,-1
1388,D2293,0.6570607707828415,18.41337321428572,0.6544628049380253,20.30587410251273,0.4450456709150981,12.522768374358977,0.4446532366679967,15.16806588671426,0.2821875738785218,1,-5
1389,D2294,1.6334535998065451,174.00669642857116,1.6557540217108295,223.8326718592024,2.7421554520679314,290.24725868648136,2.74410902014842,306.36537902813075,-0.702783957118029,0,-7
1390,D2295,0.969747300953624,146.0852678571429,0.9643813464956656,156.67990192024183,1.2755687533058395,193.67847550890656,1.2794574633781313,239.03456685397856,0.4410720900542028,0,-1
1391,D2296,3.583072328000525,414.3450892857142,3.51107831417784,444.2199709325716,1.0596080515724198,123.25349867754969,1.051972287968905,157.90441418110578,0.7083900536076557,1,3
1392,D2297,1.000534122585128,148.12723214285728,0.994103181354502,168.60474883856392,8.144210104718876,1164.1958108079746,7.824823631750218,1165.7530157189983,-0.0497099723540609,0,-1
1393,D2298,1.1263075950197547,12.522842857142855,1.118322960519581,14.84289853082108,0.6627153088705335,7.373880647437724,0.6634865745546163,8.132102666544066,0.7624027355072136,1,5
1394,D2299,1.9027655658197344,219.90312499999968,1.883794483583868,226.34435356840464,10.603033912465769,1174.3919856168122,10.068392137520112,1175.5005492074945,0.0845726216659445,0,5
1395,D2300,2.225116353081275,240.27901785714312,2.21595138822955,329.08499803110084,2.611585060889517,279.73536694925144,2.562953929553505,511.6676921059966,0.3789683242858991,0,1
